index,price,carat
144,572,0.33
145,5099,1.01
146,891,0.41
147,686,0.34
148,1656,0.51
149,608,0.3
150,1056,0.43
151,1295,0.41
152,4871,0.9
153,498,0.27
154,394,0.3
155,14814,1.8
156,7191,1.2
157,1814,0.56
158,1913,0.74
159,1210,0.42
160,673,0.3
161,850,0.46
162,5760,1.01
163,9256,1.63
164,814,0.3
165,1949,0.56
166,1845,0.5
167,16392,2.03
168,698,0.33
169,18788,2.8
170,4113,1.13
171,421,0.3
172,2333,0.54
173,11303,1.5
174,2917,0.93
175,12308,1.8
176,1978,0.74
177,3353,0.73
178,4788,1.0
179,8662,1.5
180,7277,1.02
181,3512,0.9
182,789,0.3
183,806,0.35
184,9516,1.18
185,3643,0.9
186,884,0.31
187,6727,1.21
188,1422,0.43
189,3974,0.7
190,5778,1.02
191,2651,0.71
192,538,0.38
193,2780,0.71
194,9738,1.24
195,2553,0.7
196,2674,0.72
197,9208,1.74
198,980,0.49
199,2143,0.6
200,6095,1.31
201,17798,2.01
202,638,0.41
203,10727,1.29
204,982,0.4
205,1841,0.6
206,14074,2.0
207,413,0.32
208,12542,1.62
209,1088,0.52
210,7418,1.22
211,5699,1.2
212,599,0.4
213,1026,0.38
214,1013,0.3
215,1362,0.39
216,4092,1.17
217,1114,0.33
218,1579,0.61
219,4752,1.2
220,1421,0.51
221,810,0.42
222,4558,1.1
223,14105,1.5
224,1282,0.5
225,1208,0.58
226,4903,1.03
227,7508,1.01
228,6169,1.02
229,7324,1.02
230,1098,0.51
231,904,0.41
232,15847,1.74
233,3847,1.08
234,3746,0.72
235,4291,1.02
236,810,0.37
237,8035,1.57
238,5736,1.26
239,9634,1.12
240,5504,1.19
241,561,0.32
242,3178,0.67
243,12498,1.52
244,4325,0.68
245,10697,1.72
246,667,0.27
247,568,0.36
248,3830,0.95
249,7974,1.01
250,5884,1.2
251,2112,1.0
252,11998,1.57
253,1013,0.3
254,2606,0.71
255,608,0.3
256,2100,0.7
257,2999,0.74
258,10763,1.3
259,5922,1.09
260,11830,2.45
261,901,0.43
262,4891,1.2
263,10663,1.09
264,4497,1.11
265,591,0.27
266,6465,1.0
267,3725,0.7
268,1226,0.53
269,3697,0.9
270,1645,0.55
271,2263,0.7
272,449,0.32
273,1063,0.35
274,1902,0.71
275,1884,0.58
276,1101,0.38
277,918,0.32
278,4496,1.01
279,882,0.4
280,7634,1.12
281,678,0.24
282,9229,1.6
283,16466,2.46
284,732,0.31
285,1356,0.41
286,2273,0.7
287,10051,1.52
288,821,0.34
289,2364,0.72
290,2329,0.71
291,1374,0.4
292,2861,0.66
293,600,0.31
294,1112,0.38
295,811,0.37
296,2732,0.66
297,4984,1.0
298,2042,0.74
299,7024,2.01
300,1094,0.56
301,625,0.31
302,2609,0.75
303,1289,0.52
304,1438,0.51
305,9789,2.06
306,1230,0.41
307,5889,1.06
308,3148,0.7
309,776,0.3
310,1723,0.56
311,565,0.3
312,12179,2.11
313,4050,1.23
314,5646,1.01
315,2827,0.72
316,15309,1.68
317,3370,0.7
318,6533,1.01
319,1279,0.5
320,1599,0.51
321,10701,1.82
322,8973,1.51
323,999,0.41
324,2513,0.7
325,1626,0.5
326,1114,0.3
327,3311,0.73
328,15030,2.8
329,4707,1.13
330,680,0.42
331,705,0.41
332,2160,0.5
333,12707,2.12
334,633,0.38
335,3059,0.71
336,568,0.3
337,2281,0.53
338,4660,1.19
339,605,0.3
340,1978,0.66
341,9648,1.18
342,500,0.3
343,473,0.3
344,4029,0.71
345,645,0.32
346,685,0.41
347,1253,0.44
348,3810,0.9
349,18736,2.01
350,3296,0.8
351,7520,1.5
352,6344,2.0
353,10528,2.0
354,734,0.31
355,3860,1.0
356,2208,0.71
357,14775,2.55
358,2170,0.7
359,766,0.38
360,4435,0.9
361,1944,0.57
362,1636,0.58
363,5412,1.5
364,2307,0.81
365,5000,1.24
366,651,0.31
367,8270,1.53
368,682,0.27
369,745,0.34
370,821,0.36
371,895,0.3
372,1642,0.53
373,1397,0.57
374,3072,0.71
375,2647,0.93
376,2342,0.7
377,8402,1.21
378,895,0.3
379,9756,1.22
380,5813,1.06
381,4128,0.91
382,4226,1.1
383,4434,0.91
384,12268,2.03
385,3583,0.98
386,979,0.31
387,1247,0.35
388,597,0.26
389,7332,1.01
390,438,0.25
391,3053,0.75
392,8791,1.5
393,6108,1.01
394,10378,1.35
395,13169,1.71
396,1130,0.51
397,1200,0.38
398,1673,0.52
399,10011,1.01
400,942,0.31
401,367,0.2
402,8550,1.45
403,1436,0.5
404,2822,0.7
405,882,0.4
406,3228,0.74
407,13135,1.5
408,5055,1.24
409,3011,0.8
410,2016,0.56
411,2661,0.87
412,5335,1.09
413,816,0.4
414,2358,0.83
415,7848,1.51
416,3644,0.91
417,2641,0.73
418,882,0.4
419,3141,0.9
420,1956,0.73
421,1608,0.57
422,1552,0.51
423,5601,1.09
424,5937,1.19
425,810,0.42
426,4985,1.15
427,7783,1.22
428,1698,0.55
429,1101,0.62
430,13940,2.01
431,10836,1.53
432,9035,1.5
433,6209,1.0
434,824,0.33
435,596,0.28
436,2756,0.73
437,15646,2.18
438,13767,2.05
439,1388,0.46
440,2636,0.58
441,3669,0.73
442,771,0.38
443,7587,1.03
444,2890,0.8
445,764,0.3
446,6026,1.2
447,830,0.41
448,1263,0.55
449,5534,1.01
450,5292,1.0
451,1827,0.75
452,4320,1.01
453,6017,1.21
454,886,0.3
455,5219,1.09
456,12648,1.51
457,4191,0.9
458,2416,0.71
459,1170,0.54
460,2558,0.77
461,765,0.34
462,968,0.38
463,666,0.38
464,596,0.34
465,716,0.43
466,526,0.3
467,802,0.31
468,5626,1.15
469,2707,0.73
470,670,0.3
471,470,0.27
472,975,0.31
473,1588,0.52
474,540,0.3
475,7059,1.01
476,2814,0.76
477,422,0.3
478,863,0.34
479,12308,1.54
480,5116,1.2
481,2360,1.2
482,3833,1.17
483,12297,1.59
484,6772,1.15
485,975,0.43
486,1040,0.38
487,5969,1.38
488,725,0.34
489,5491,1.06
490,698,0.31
491,2398,0.72
492,1577,0.52
493,6973,1.21
494,640,0.3
495,2554,0.63
496,1080,0.36
497,6685,1.07
498,2166,0.59
499,680,0.31
500,3774,0.9
501,9271,1.73
502,7528,1.0
503,827,0.38
504,2421,0.7
505,1944,0.54
506,4744,1.11
507,556,0.26
508,12336,1.51
509,14556,2.14
510,3059,0.72
511,15067,2.05
512,2753,0.57
513,698,0.31
514,6522,1.01
515,1406,0.51
516,765,0.34
517,5601,1.29
518,4558,1.02
519,1013,0.5
520,2686,0.71
521,17516,2.32
522,1452,0.59
523,1262,0.53
524,5051,1.11
525,2337,0.72
526,1170,0.5
527,748,0.35
528,2106,0.7
529,982,0.4
530,646,0.28
531,5433,1.05
532,663,0.3
533,1860,0.7
534,421,0.3
535,2016,0.5
536,852,0.36
537,3639,0.91
538,8299,1.52
539,625,0.31
540,612,0.32
541,1179,0.42
542,2709,0.71
543,2723,0.73
544,6513,1.33
545,2385,0.72
546,2594,0.72
547,1881,0.53
548,3034,0.91
549,7713,1.7
550,17038,2.14
551,999,0.34
552,2668,0.71
553,2562,0.72
554,2742,0.71
555,629,0.3
556,5411,1.16
557,6041,1.35
558,1000,0.5
559,666,0.33
560,2854,0.91
561,5330,1.03
562,9576,1.52
563,6863,1.06
564,6534,1.1
565,708,0.32
566,10164,1.54
567,2443,0.71
568,560,0.32
569,6291,0.95
570,775,0.3
571,1063,0.35
572,17073,2.13
573,672,0.33
574,3160,0.7
575,982,0.31
576,5338,0.7
577,3127,0.73
578,1384,0.57
579,4553,1.18
580,4949,1.07
581,910,0.32
582,1676,0.5
583,9189,1.53
584,3705,0.71
585,1020,0.32
586,1235,0.5
587,737,0.4
588,10960,1.55
589,707,0.31
590,1865,0.56
591,942,0.31
592,658,0.3
593,4664,0.9
594,3936,0.84
595,2351,0.73
596,4258,0.92
597,675,0.3
598,5132,1.01
599,5231,1.24
600,623,0.33
601,1847,0.54
602,791,0.31
603,1612,0.51
604,2282,0.71
605,2830,0.8
606,1101,0.55
607,2488,1.01
608,3404,0.71
609,10571,1.56
610,7385,1.09
611,628,0.31
612,3304,1.0
613,11104,1.71
614,5292,1.26
615,18318,1.61
616,4668,1.04
617,4295,1.0
618,470,0.31
619,759,0.44
620,743,0.33
621,5771,1.09
622,4374,1.07
623,2762,0.7
624,10767,1.52
625,956,0.52
626,7799,1.23
627,550,0.23
628,1056,0.36
629,956,0.34
630,629,0.36
631,924,0.31
632,504,0.32
633,2797,0.8
634,3340,0.91
635,732,0.31
636,5989,1.21
637,4444,0.8
638,2107,0.55
639,605,0.3
640,3061,0.7
641,1911,0.52
642,2147,0.55
643,4928,1.1
644,1675,0.5
645,881,0.4
646,4879,1.21
647,409,0.32
648,3163,0.78
649,863,0.3
650,3592,1.01
651,3079,0.76
652,11206,1.52
653,3857,1.02
654,450,0.33
655,1066,0.7
656,1436,0.56
657,2923,0.75
658,537,0.34
659,1682,0.56
660,4753,1.01
661,1061,0.41
662,4504,1.0
663,4503,1.03
664,2980,0.64
665,4545,0.9
666,1013,0.25
667,2595,0.7
668,12642,1.06
669,4512,0.91
670,3149,1.03
671,5799,1.09
672,2854,0.7
673,3822,1.05
674,765,0.34
675,4323,0.7
676,4078,1.09
677,462,0.31
678,3783,0.73
679,4523,1.06
680,4961,0.9
681,2978,0.8
682,1786,0.9
683,1813,0.51
684,382,0.26
685,1013,0.3
686,579,0.33
687,5758,0.92
688,906,0.35
689,16278,2.51
690,727,0.4
691,2575,0.7
692,2264,0.7
693,5620,1.03
694,4323,1.04
695,1140,0.53
696,1876,0.7
697,552,0.3
698,3705,0.85
699,600,0.36
700,3848,0.91
701,6578,1.2
702,12295,2.09
703,5726,1.21
704,7485,1.02
705,4951,0.7
706,1021,0.33
707,612,0.32
708,1112,0.38
709,453,0.31
710,1187,0.41
711,1020,0.32
712,2320,0.51
713,702,0.4
714,1026,0.51
715,686,0.34
716,693,0.33
717,3176,0.72
718,2484,0.8
719,11360,1.7
720,4072,0.9
721,3967,0.92
722,8658,1.02
723,9120,1.56
724,6246,1.3
725,924,0.31
726,6279,1.36
727,8233,1.11
728,10711,2.01
729,451,0.33
730,2771,0.72
731,979,0.31
732,5001,1.16
733,5190,1.01
734,4797,1.04
735,1928,0.55
736,1577,0.52
737,2473,0.7
738,575,0.25
739,1436,0.5
740,706,0.35
741,9290,1.03
742,727,0.34
743,8393,1.07
744,2803,0.77
745,677,0.4
746,1735,0.55
747,9562,1.53
748,6957,1.23
749,4523,0.9
750,5008,1.14
751,4590,0.91
752,4521,0.83
753,12150,1.13
754,4205,1.01
755,1086,0.47
756,2562,0.62
757,5421,1.09
758,1044,0.53
759,4488,1.17
760,2633,0.7
761,5748,1.06
762,3328,0.79
763,6073,1.0
764,9050,1.0
765,9967,2.06
766,2399,0.76
767,4062,0.9
768,6762,1.02
769,1974,0.51
770,990,0.4
771,370,0.24
772,1008,0.32
773,2420,0.79
774,2731,0.72
775,1020,0.32
776,1790,0.7
777,4712,1.0
778,2622,0.8
779,2206,0.72
780,1876,0.57
781,2045,0.69
782,605,0.3
783,17219,1.7
784,15996,2.02
785,1861,0.61
786,5113,1.01
787,6682,1.13
788,3497,0.76
789,502,0.31
790,14242,1.5
791,12285,1.28
792,806,0.32
793,1032,0.44
794,1986,0.71
795,7026,1.02
796,605,0.3
797,9471,1.51
798,506,0.3
799,651,0.4
800,5416,1.5
801,2572,0.71
802,625,0.31
803,1818,0.53
804,4812,1.01
805,709,0.39
806,968,0.43
807,357,0.23
808,802,0.3
809,477,0.32
810,1573,0.51
811,958,0.5
812,449,0.24
813,461,0.24
814,2150,0.7
815,16992,2.12
816,3644,0.9
817,6401,1.37
818,780,0.33
819,9032,1.05
820,1089,0.4
821,798,0.4
822,490,0.27
823,2921,0.71
824,11854,1.81
825,5908,1.11
826,13132,1.58
827,2239,1.06
828,789,0.31
829,456,0.32
830,3539,0.9
831,781,0.33
832,1105,0.45
833,2891,0.71
834,5227,1.0
835,1270,0.38
836,872,0.31
837,747,0.35
838,684,0.3
839,16874,2.04
840,918,0.38
841,4601,0.9
842,698,0.31
843,3387,0.91
844,1608,0.57
845,643,0.33
846,919,0.43
847,2062,0.7
848,8868,1.52
849,2051,0.51
850,5600,1.0
851,605,0.3
852,2295,0.85
853,17760,2.0
854,660,0.31
855,1692,0.55
856,765,0.34
857,5628,1.25
858,15850,2.18
859,12592,2.02
860,3315,0.74
861,2723,0.78
862,2803,0.73
863,1031,0.5
864,1637,0.46
865,7399,1.04
866,6730,1.07
867,16944,2.02
868,4428,1.28
869,5559,1.08
870,3999,1.01
871,568,0.3
872,1846,0.69
873,3129,0.97
874,947,0.53
875,5915,1.02
876,726,0.34
877,3965,1.0
878,720,0.32
879,5006,1.01
880,521,0.33
881,9377,1.15
882,8645,1.05
883,9072,1.5
884,2403,0.76
885,3052,0.7
886,2890,0.8
887,5861,1.14
888,8546,1.05
889,689,0.36
890,8093,1.06
891,4543,1.04
892,5460,1.0
893,5378,1.03
894,1796,0.55
895,10309,1.59
896,898,0.38
897,10019,1.04
898,435,0.25
899,5412,1.24
900,3770,1.02
901,6622,1.02
902,13406,1.31
903,7209,1.01
904,4413,1.0
905,863,0.3
906,1607,0.53
907,18344,2.07
908,2258,0.71
909,675,0.3
910,2832,0.81
911,3024,0.72
912,6874,1.24
913,7879,1.05
914,2441,0.7
915,6019,1.2
916,4010,1.17
917,13853,1.5
918,14238,2.02
919,1436,0.5
920,9282,1.5
921,5146,1.14
922,2401,0.7
923,1726,0.54
924,710,0.3
925,540,0.3
926,2386,0.81
927,991,0.51
928,968,0.43
929,1286,0.5
930,586,0.28
931,11456,1.2
932,575,0.25
933,2922,0.71
934,2870,0.52
935,4242,1.01
936,3603,1.04
937,8313,1.22
938,16960,1.73
939,1153,0.5
940,3492,0.9
941,3265,1.0
942,344,0.31
943,558,0.31
944,5998,1.26
945,737,0.4
946,6803,1.05
947,3066,0.71
948,2553,0.74
949,1935,0.5
950,5523,1.03
951,3618,0.91
952,669,0.43
953,1810,0.57
954,3192,0.76
955,4260,1.01
956,11035,1.51
957,1125,0.52
958,1276,0.34
959,2198,0.71
960,12224,1.51
961,9242,1.3
962,1659,0.43
963,492,0.33
964,720,0.32
965,3105,0.9
966,766,0.38
967,2127,0.71
968,3916,0.92
969,6066,1.01
970,1989,0.54
971,1376,0.52
972,3605,1.16
973,1662,0.56
974,4270,1.06
975,5122,1.0
976,1439,0.58
977,850,0.33
978,388,0.32
979,1071,0.51
980,2391,0.77
981,1003,0.34
982,3701,0.71
983,802,0.31
984,1672,0.7
985,15811,2.03
986,2131,0.66
987,14414,1.72
988,544,0.31
989,974,0.44
990,2933,0.75
991,851,0.42
992,1593,0.55
993,789,0.31
994,734,0.31
995,1075,0.31
996,6232,1.07
997,863,0.3
998,921,0.42
999,6288,1.32
1000,12967,1.3
1001,1928,0.7
1002,6289,1.23
1003,12490,1.51
1004,4258,0.73
1005,4814,1.08
1006,9653,1.44
1007,5712,1.01
1008,792,0.43
1009,2352,0.71
1010,4062,0.9
1011,9343,1.52
1012,10462,1.57
1013,1205,0.51
1014,2456,0.71
1015,3002,0.73
1016,552,0.3
1017,897,0.31
1018,1913,0.54
1019,5653,1.21
1020,1057,0.41
1021,1436,0.5
1022,12338,2.01
1023,3264,0.88
1024,1352,0.59
1025,1031,0.42
1026,586,0.27
1027,779,0.31
1028,1179,0.37
1029,675,0.3
1030,756,0.32
1031,1186,0.41
1032,15792,1.52
1033,6204,1.01
1034,6405,1.17
1035,926,0.42
1036,795,0.43
1037,1259,0.54
1038,7385,1.57
1039,3016,0.9
1040,2463,0.71
1041,7016,1.34
1042,1558,0.58
1043,3597,1.01
1044,597,0.4
1045,2622,1.2
1046,918,0.4
1047,12295,1.62
1048,1629,0.5
1049,4748,1.11
1050,1043,0.41
1051,419,0.24
1052,3198,0.83
1053,10286,1.55
1054,4682,1.04
1055,16378,2.07
1056,710,0.3
1057,8131,1.52
1058,644,0.35
1059,1664,0.59
1060,15984,2.0
1061,1757,0.69
1062,4372,1.06
1063,625,0.31
1064,1076,0.41
1065,17975,2.03
1066,1053,0.4
1067,5592,1.0
1068,5367,1.14
1069,5610,1.2
1070,1424,0.59
1071,11757,2.02
1072,4096,1.5
1073,884,0.42
1074,15708,1.5
1075,4308,0.98
1076,1353,0.53
1077,994,0.43
1078,6796,2.0
1079,15529,1.51
1080,523,0.31
1081,878,0.3
1082,386,0.21
1083,2999,0.7
1084,711,0.31
1085,2316,0.78
1086,2856,1.0
1087,734,0.31
1088,6504,1.08
1089,434,0.33
1090,4786,1.0
1091,665,0.3
1092,2757,0.7
1093,4425,0.93
1094,2530,0.71
1095,1415,0.53
1096,3841,0.83
1097,2028,0.71
1098,11081,1.23
1099,15475,2.01
1100,485,0.24
1101,9335,1.58
1102,4427,0.9
1103,6783,1.25
1104,5164,1.16
1105,6317,1.02
1106,508,0.26
1107,3075,0.72
1108,797,0.33
1109,827,0.41
1110,2125,0.72
1111,3774,0.83
1112,1216,0.42
1113,3333,0.6
1114,4498,1.12
1115,2402,0.57
1116,7129,1.02
1117,995,0.37
1118,447,0.3
1119,5346,1.02
1120,8227,1.59
1121,5050,1.01
1122,9178,1.36
1123,3736,0.9
1124,972,0.32
1125,789,0.3
1126,2157,0.56
1127,1010,0.32
1128,6080,1.02
1129,11003,1.71
1130,10851,1.52
1131,3234,0.59
1132,1415,0.5
1133,1016,0.43
1134,803,0.34
1135,2419,0.5
1136,3109,0.7
1137,6289,1.23
1138,3804,0.9
1139,851,0.36
1140,628,0.31
1141,8401,1.02
1142,1983,0.58
1143,1832,0.53
1144,1142,0.42
1145,13760,2.13
1146,5050,1.03
1147,4916,1.01
1148,1726,0.57
1149,5312,1.02
1150,3923,1.01
1151,777,0.31
1152,2676,0.91
1153,1297,0.45
1154,1404,0.5
1155,945,0.4
1156,8619,1.06
1157,1343,0.52
1158,1569,0.5
1159,478,0.26
1160,4732,1.0
1161,881,0.34
1162,730,0.32
1163,936,0.37
1164,3951,1.05
1165,1263,0.4
1166,15474,2.1
1167,992,0.42
1168,17849,2.01
1169,593,0.31
1170,11951,2.03
1171,5242,1.0
1172,2890,0.8
1173,1659,0.56
1174,16237,2.32
1175,720,0.32
1176,15505,1.53
1177,8648,1.17
1178,2630,0.71
1179,1061,0.41
1180,7235,1.51
1181,3342,0.9
1182,902,0.39
1183,765,0.4
1184,4446,1.07
1185,5093,1.07
1186,15143,2.03
1187,762,0.33
1188,5914,1.05
1189,8441,1.59
1190,6335,1.19
1191,4890,1.11
1192,8065,1.01
1193,8157,1.13
1194,14032,2.21
1195,4733,1.08
1196,6809,1.2
1197,3796,1.02
1198,1069,0.5
1199,3837,0.91
1200,554,0.26
1201,407,0.3
1202,1235,0.63
1203,698,0.31
1204,898,0.42
1205,1020,0.4
1206,14107,1.64
1207,17360,1.7
1208,977,0.31
1209,6831,1.39
1210,1442,0.6
1211,4004,1.02
1212,2873,0.9
1213,2170,0.74
1214,18398,1.7
1215,16499,2.01
1216,1439,0.54
1217,10236,1.12
1218,4027,0.94
1219,2539,0.79
1220,2010,0.6
1221,972,0.32
1222,2066,0.56
1223,3128,0.71
1224,552,0.3
1225,6342,1.04
1226,3091,0.72
1227,11166,1.51
1228,666,0.33
1229,1633,0.58
1230,956,0.34
1231,3398,0.9
1232,703,0.38
1233,956,0.56
1234,695,0.4
1235,959,0.31
1236,4405,1.15
1237,848,0.34
1238,507,0.3
1239,1343,0.52
1240,3665,1.01
1241,810,0.36
1242,11774,1.36
1243,4540,1.01
1244,2784,0.79
1245,724,0.26
1246,17938,2.02
1247,518,0.27
1248,1205,0.46
1249,10378,1.21
1250,2767,0.71
1251,1068,0.41
1252,1605,0.55
1253,7597,1.01
1254,9188,1.24
1255,990,0.44
1256,8557,1.21
1257,5012,1.11
1258,2512,0.7
1259,4242,1.01
1260,1084,0.34
1261,979,0.39
1262,2141,0.71
1263,3966,1.01
1264,2184,0.73
1265,758,0.32
1266,13624,1.51
1267,526,0.3
1268,917,0.4
1269,1571,0.42
1270,650,0.39
1271,3084,0.71
1272,658,0.3
1273,6031,1.21
1274,4791,1.21
1275,700,0.42
1276,5353,1.04
1277,10716,1.28
1278,9262,1.27
1279,4416,1.0
1280,728,0.3
1281,9998,1.54
1282,1723,0.56
1283,5777,1.01
1284,828,0.32
1285,7466,1.01
1286,854,0.33
1287,6797,1.02
1288,4158,0.9
1289,9752,1.41
1290,4133,0.9
1291,5028,1.21
1292,4093,1.13
1293,1397,0.5
1294,5443,1.01
1295,945,0.4
1296,605,0.3
1297,1057,0.41
1298,550,0.33
1299,596,0.4
1300,7562,1.21
1301,1884,0.58
1302,1744,0.51
1303,3211,0.82
1304,2512,1.3
1305,521,0.33
1306,17079,2.01
1307,5370,1.05
1308,6720,1.0
1309,3405,0.91
1310,571,0.31
1311,3697,1.31
1312,14295,1.52
1313,4641,1.01
1314,6860,1.0
1315,5556,1.21
1316,13291,1.55
1317,6285,1.0
1318,1767,0.51
1319,1284,0.51
1320,2149,0.71
1321,1173,0.54
1322,3405,0.72
1323,844,0.3
1324,743,0.41
1325,544,0.31
1326,5749,1.01
1327,683,0.41
1328,1255,0.61
1329,16742,2.01
1330,13752,1.51
1331,3975,0.91
1332,6766,1.05
1333,15653,2.1
1334,838,0.33
1335,475,0.3
1336,3257,0.81
1337,1987,0.46
1338,4540,0.9
1339,3810,0.9
1340,1035,0.4
1341,953,0.46
1342,3895,0.92
1343,13887,1.67
1344,3342,0.73
1345,1721,0.53
1346,5773,1.22
1347,10387,1.1
1348,17240,1.54
1349,1817,0.45
1350,4743,1.01
1351,613,0.3
1352,1779,0.63
1353,15397,2.25
1354,594,0.33
1355,814,0.32
1356,1882,0.51
1357,5253,1.06
1358,988,0.31
1359,2117,0.7
1360,972,0.32
1361,4162,1.02
1362,990,0.44
1363,2036,0.58
1364,1687,0.81
1365,730,0.32
1366,4456,1.11
1367,2553,0.7
1368,1400,0.42
1369,7534,1.51
1370,6449,1.23
1371,9479,1.01
1372,389,0.3
1373,5407,1.02
1374,1806,0.7
1375,4078,0.9
1376,4246,1.02
1377,17262,2.42
1378,1031,0.5
1379,449,0.32
1380,9905,2.04
1381,2383,0.55
1382,1013,0.3
1383,633,0.4
1384,2697,0.7
1385,1367,0.41
1386,781,0.33
1387,2623,0.71
1388,689,0.4
1389,5218,1.21
1390,17099,2.02
1391,16544,2.0
1392,956,0.34
1393,558,0.31
1394,1385,0.52
1395,2398,0.74
1396,10443,1.11
1397,16916,1.52
1398,12991,1.58
1399,1822,0.52
1400,9408,1.32
1401,1552,0.53
1402,449,0.32
1403,3734,0.9
1404,809,0.32
1405,3513,0.82
1406,1698,0.55
1407,3473,0.9
1408,1725,0.64
1409,15675,2.01
1410,3807,0.61
1411,4702,1.14
1412,2196,0.7
1413,3219,1.18
1414,810,0.41
1415,1665,0.52
1416,1257,0.4
1417,2121,0.73
1418,5516,1.06
1419,3247,0.52
1420,4116,0.9
1421,1924,0.79
1422,11428,1.55
1423,6397,1.36
1424,4846,0.9
1425,6335,1.01
1426,1056,0.43
1427,895,0.3
1428,3346,0.53
1429,8930,1.51
1430,1016,0.43
1431,7415,1.31
1432,984,0.42
1433,1939,0.54
1434,795,0.41
1435,1767,0.52
1436,7974,1.01
1437,588,0.28
1438,11435,1.51
1439,3239,0.7
1440,10887,2.01
1441,612,0.41
1442,2795,0.72
1443,5408,1.11
1444,1781,0.51
1445,579,0.33
1446,2667,0.77
1447,2862,0.71
1448,6958,1.24
1449,4661,1.23
1450,855,0.4
1451,3528,1.0
1452,4201,0.91
1453,8365,1.53
1454,9282,1.09
1455,596,0.34
1456,521,0.24
1457,1232,0.44
1458,526,0.3
1459,9703,1.07
1460,834,0.41
1461,1380,0.61
1462,536,0.23
1463,3881,1.0
1464,9141,1.61
1465,1292,0.52
1466,421,0.32
1467,16459,2.0
1468,4140,1.32
1469,2067,0.53
1470,1672,0.7
1471,1378,0.54
1472,3175,0.7
1473,16068,2.0
1474,628,0.31
1475,3881,0.9
1476,2615,0.57
1477,10472,1.7
1478,5887,1.0
1479,1708,0.51
1480,732,0.31
1481,2184,0.71
1482,1564,0.54
1483,3340,0.71
1484,1449,0.53
1485,644,0.36
1486,1618,0.62
1487,3372,0.87
1488,1376,0.51
1489,838,0.33
1490,17247,2.0
1491,706,0.35
1492,11045,1.61
1493,2668,0.76
1494,1174,0.34
1495,4878,1.28
1496,6189,1.21
1497,5147,1.01
1498,2306,0.6
1499,12738,1.51
1500,3465,1.0
1501,6190,1.0
1502,5183,1.23
1503,13923,2.26
1504,707,0.31
1505,5152,1.11
1506,2393,0.72
1507,1731,0.5
1508,4496,1.07
1509,4211,0.91
1510,2037,1.04
1511,1668,0.52
1512,6349,1.0
1513,710,0.3
1514,878,0.3
1515,828,0.32
1516,891,0.31
1517,765,0.34
1518,2679,0.59
1519,789,0.31
1520,592,0.31
1521,5821,1.08
1522,707,0.28
1523,5702,1.16
1524,3805,1.08
1525,4080,1.0
1526,710,0.3
1527,3295,0.82
1528,4876,1.01
1529,9768,1.5
1530,1303,0.52
1531,14428,2.01
1532,605,0.3
1533,1763,0.55
1534,1806,0.7
1535,6875,1.24
1536,1607,0.53
1537,4819,1.03
